project,STYLE,TOTAL_EXPERIMENTAL,TOTAL_INPUT_VALIDATION_BUGS,TOTAL_CORRECTNESS,TOTAL_SECURITY_REST,TOTAL_BAD_PRACTICE,TOTAL_I18N,CORRECTNESS,SECURITY_REST,TOTAL_PERFORMANCE,MALICIOUS_CODE,BAD_PRACTICE,TOTAL_MALICIOUS_CODE,MT_CORRECTNESS,I18N,PERFORMANCE,TOTAL_STYLE,TOTAL_MT_CORRECTNESS,INPUT_VALIDATION_BUGS,EXPERIMENTAL
org.wamblee||wamblee-support-spring,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,2,NA,NA,NA,1,NA,NA,NA,NA
tomcat||catalina-balancer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.ops4j.pax.scanner||pax-scanner-obr,1,NA,NA,2,NA,1,14,1,NA,2,NA,1,NA,1,6,1,2,2,NA,NA
org.jboss.marshalling||jboss-marshalling-river,5,NA,NA,18,NA,9,NA,2,NA,9,5,1,28,NA,NA,1,45,NA,NA,NA
org.apache.tuscany.sca||tuscany-binding-notification,2,NA,NA,NA,NA,9,NA,NA,NA,54,NA,1,NA,4,NA,6,18,36,NA,NA
org.apache.directory.shared||shared-ldap-model,23,5,NA,50,NA,134,32,12,NA,37,17,44,78,1,4,12,109,1,NA,1
org.openengsb.connector||openengsb-connector-github,8,NA,NA,NA,NA,6,10,NA,NA,2,NA,2,NA,NA,4,1,16,NA,NA,NA
org.apache.myfaces.tomahawk||tomahawk,79,NA,NA,47,NA,266,38,11,NA,85,74,76,394,5,8,22,323,17,NA,NA
org.apache.ace||org.apache.ace.deployment.provider.base,1,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,2,2,1,NA,NA,NA
org.apache.struts||struts-taglib,5,NA,NA,8,NA,NA,8,2,NA,20,30,NA,119,NA,2,5,19,NA,NA,NA
org.codehaus.jtstand||jtstand-smtp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.openxri||openxri-syntax,3,NA,NA,2,NA,70,2,2,NA,11,NA,36,NA,NA,1,5,7,NA,NA,NA
se.vgregion.commons-util||commons-util-core-bc-composite-types-jpa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.sonatype.tycho||tycho-metadata-model,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA
org.fusesource.wikitext||twiki-core,1,NA,NA,NA,NA,NA,NA,NA,NA,8,1,NA,4,NA,NA,2,4,NA,NA,NA
org.ow2.frascati||frascati-runtime-factory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
org.codehaus.mojo||truezip-maven-plugin,2,NA,NA,33,NA,NA,5,9,NA,NA,1,NA,5,NA,1,NA,10,NA,NA,NA
org.apache.cxf||cxf-anttasks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
