project,version,jarsize,INPUT_VALIDATION_BUGS,SECURITY_REST,MALICIOUS_CODE,STYLE,CORRECTNESS,BAD_PRACTICE,MT_CORRECTNESS,I18N,PERFORMANCE,EXPERIMENTAL
org.apache.synapse||synapse-commons,0,262471,NA,NA,5,3,NA,NA,NA,NA,NA,1
jboss||jboss-jmx,0,727136,NA,NA,43,17,13,25,8,3,44,NA
jboss||jboss-jmx,0,1128850,NA,NA,26,32,9,40,19,3,36,NA
jboss||jboss-jmx,0,843744,NA,NA,56,18,11,32,9,3,56,NA
net.liftweb||lift-mapper_2.9.0-1,0,3325489,NA,NA,12,37,5,88,6,NA,18,1
net.liftweb||lift-mapper_2.9.0-1,1,3325489,NA,NA,12,37,5,88,6,NA,18,1
net.liftweb||lift-mapper_2.9.0-1,3,3358538,NA,NA,12,37,5,88,6,NA,18,2
org.eclipse.ocl||uml,0,649817,NA,NA,11,6,NA,52,NA,NA,11,NA
org.jboss.marshalling||jboss-marshalling-river,1,147000,NA,NA,4,5,2,1,NA,NA,1,NA
org.jboss.marshalling||jboss-marshalling-river,2,151695,NA,NA,3,5,2,1,NA,NA,1,NA
org.jboss.marshalling||jboss-marshalling-river,3,153343,NA,NA,3,5,2,1,NA,NA,1,NA
org.jboss.marshalling||jboss-marshalling-river,4,153518,NA,NA,3,5,2,1,NA,NA,1,NA
org.jboss.marshalling||jboss-marshalling-river,5,153532,NA,NA,3,5,2,1,NA,NA,1,NA
org.jboss.marshalling||jboss-marshalling-river,6,153532,NA,NA,3,5,2,1,NA,NA,1,NA
org.jboss.marshalling||jboss-marshalling-river,7,153532,NA,NA,3,5,2,1,NA,NA,1,NA
org.jboss.marshalling||jboss-marshalling-river,8,167522,NA,NA,3,5,2,1,NA,NA,1,NA
org.jboss.marshalling||jboss-marshalling-river,9,167661,NA,NA,3,5,2,1,NA,NA,1,NA
org.apache.directory.shared||shared-ldap-model,1,1663117,NA,NA,16,21,11,35,NA,7,10,1
org.apache.directory.shared||shared-ldap-model,2,1707777,NA,NA,16,22,12,27,1,7,12,1
org.apache.directory.shared||shared-ldap-model,3,1641950,NA,NA,16,22,9,24,NA,6,5,1
org.apache.directory.shared||shared-ldap-model,4,1694765,NA,NA,15,22,9,24,NA,6,5,1
org.apache.directory.shared||shared-ldap-model,5,1695092,NA,NA,15,22,9,24,NA,6,5,1
org.apache.jackrabbit||jackrabbit-webdav,1,528921,NA,NA,27,5,NA,2,NA,1,4,1
org.apache.jackrabbit||jackrabbit-webdav,2,528921,NA,NA,27,5,NA,2,NA,1,4,1
org.apache.jackrabbit||jackrabbit-webdav,3,528921,NA,NA,27,5,NA,2,NA,1,4,1
org.apache.jackrabbit||jackrabbit-webdav,4,530661,NA,NA,27,5,NA,2,NA,1,4,1
org.apache.jackrabbit||jackrabbit-webdav,5,530661,NA,NA,27,5,NA,2,NA,1,4,1
org.apache.jackrabbit||jackrabbit-webdav,6,530142,NA,NA,27,5,NA,2,NA,1,4,1
org.apache.jackrabbit||jackrabbit-webdav,7,555326,NA,NA,27,5,NA,2,NA,1,4,1
org.apache.jackrabbit||jackrabbit-webdav,8,582223,NA,NA,27,5,NA,2,NA,NA,4,1
org.apache.jackrabbit||jackrabbit-webdav,9,582223,NA,NA,27,5,NA,2,NA,NA,4,1
org.apache.jackrabbit||jackrabbit-webdav,10,582069,NA,NA,27,5,NA,2,NA,NA,4,1
org.apache.jackrabbit||jackrabbit-webdav,11,582708,NA,NA,27,5,NA,2,NA,NA,4,1
org.apache.jackrabbit||jackrabbit-webdav,12,582708,NA,NA,27,5,NA,2,NA,NA,4,1
org.apache.jackrabbit||jackrabbit-webdav,13,582708,NA,NA,27,5,NA,2,NA,NA,4,1
org.apache.jackrabbit||jackrabbit-webdav,14,582708,NA,NA,27,5,NA,2,NA,NA,4,1
org.apache.jackrabbit||jackrabbit-webdav,16,532495,NA,NA,27,5,NA,2,NA,NA,8,1
org.apache.jackrabbit||jackrabbit-webdav,17,532495,NA,NA,27,5,NA,2,NA,NA,8,1
org.apache.jackrabbit||jackrabbit-webdav,18,532495,NA,NA,27,5,NA,2,NA,NA,8,1
org.apache.jackrabbit||jackrabbit-webdav,19,532495,NA,NA,27,5,NA,2,NA,NA,8,1
org.apache.jackrabbit||jackrabbit-webdav,20,532495,NA,NA,27,5,NA,2,NA,NA,8,1
org.apache.jackrabbit||jackrabbit-webdav,21,532495,NA,NA,27,5,NA,2,NA,NA,8,1
org.apache.jackrabbit||jackrabbit-webdav,22,532495,NA,NA,27,5,NA,2,NA,NA,8,1
org.apache.jackrabbit||jackrabbit-webdav,24,555035,NA,NA,27,6,1,1,NA,NA,4,1
org.apache.jackrabbit||jackrabbit-webdav,25,555035,NA,NA,27,6,1,1,NA,NA,4,1
org.apache.jackrabbit||jackrabbit-webdav,26,555035,NA,NA,27,6,1,1,NA,NA,4,1
org.apache.jackrabbit||jackrabbit-webdav,27,555035,NA,NA,27,6,1,1,NA,NA,4,1
org.apache.jackrabbit||jackrabbit-webdav,28,555086,NA,NA,27,6,1,1,NA,NA,4,1
org.apache.jackrabbit||jackrabbit-webdav,30,556294,NA,NA,26,6,1,1,NA,NA,4,1
org.apache.jackrabbit||jackrabbit-webdav,31,556294,NA,NA,26,6,1,1,NA,NA,4,1
org.apache.jackrabbit||jackrabbit-webdav,32,556294,NA,NA,26,6,1,1,NA,NA,4,1
org.apache.jackrabbit||jackrabbit-webdav,33,556294,NA,NA,26,6,1,1,NA,NA,4,1
org.apache.jackrabbit||jackrabbit-webdav,34,556617,NA,NA,26,6,1,1,NA,NA,4,1
org.apache.jackrabbit||jackrabbit-webdav,35,556617,NA,NA,26,6,1,1,NA,NA,4,1
org.apache.myfaces.tomahawk||tomahawk,1,1974756,NA,NA,60,24,6,29,4,5,10,NA
org.apache.myfaces.tomahawk||tomahawk,2,1975388,NA,NA,60,24,6,29,4,5,10,NA
org.apache.myfaces.tomahawk||tomahawk,3,2922536,NA,NA,65,65,7,50,2,7,15,NA
org.apache.myfaces.tomahawk||tomahawk,4,2943478,NA,NA,69,65,7,50,2,7,16,NA
org.apache.myfaces.tomahawk||tomahawk,5,3033863,NA,NA,69,69,9,53,2,7,16,NA
org.apache.myfaces.tomahawk||tomahawk,6,3165400,NA,NA,71,76,12,55,3,7,18,NA
org.apache.struts||struts-taglib,1,342125,NA,NA,29,4,2,NA,NA,2,5,NA
org.apache.struts||struts-taglib,2,348309,NA,NA,30,5,2,NA,NA,2,5,NA
org.apache.struts||struts-taglib,3,347965,NA,NA,30,5,2,NA,NA,2,5,NA
org.apache.struts||struts-taglib,4,348859,NA,NA,30,5,2,NA,NA,2,5,NA
xfire||jaxb-libs,0,1333912,NA,NA,22,22,5,29,NA,9,25,2
